customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,city_norm
5aa9e4fdd4dfd20959cad2d772509598,2a46fb94aef5cbeeb850418118cee090,20231,rio de janeiro,RJ,rio de janeiro
a7c125a0a07b75146167b7f04a7f8e98,5c2991dbd08bbf3cf410713c4de5a0b5,22750,rio de janeiro,RJ,rio de janeiro
b64ed91eab98972150bdaf77ca921934,3da7750bf3c1dbd724624a60a9f5942b,21310,rio de janeiro,RJ,rio de janeiro
cc32707d2e2f7c92ab449f9b28154809,0d516ca029d6a28d5cfddd80b27a26dc,22440,rio de janeiro,RJ,rio de janeiro
b514422efcf14bef34858a0829bef189,b436a108536c1dabbc1d3e808d782df9,24431,sao goncalo,RJ,sao goncalo
f6529ffebe6b3440d45d89604a4239ac,e5dbefdfdf3eff75c8e6cd655f128279,26272,nova iguacu,RJ,nova iguacu
5f8b4882b5a4ec7bf6d2107e6cd0cf29,694cb45ff29b603ac2acd51016770097,24120,niteroi,RJ,niteroi
53b6d45cb9684a4b93e0ba2030222456,5d348bbc0f1a5cc45c3e4b93b8c9f802,24431,sao goncalo,RJ,sao goncalo
7f2357cfd99c900565e6ffd6d2708d9d,466c3a741a952640c1984a48ebbffbf9,22251,rio de janeiro,RJ,rio de janeiro
21fb2ebc5077f72af04e6ead0763eba5,59150cde6405fb8f31f6dd1882d15754,22290,rio de janeiro,RJ,rio de janeiro
c4c3372671aab4ba29e3e410ed8fc5e3,6e4188c01246d30b20d17a1ed42094fe,20030,rio de janeiro,RJ,rio de janeiro
46c6a82294d359a290ff408b11cbb643,1605a6c5d93d3488fb621c5323930795,22251,rio de janeiro,RJ,rio de janeiro
eee74b2a9aa0989243d2793c1a90fbf6,a40096fc0a3862e9e12bc55b5f8e6ab2,20561,rio de janeiro,RJ,rio de janeiro
b99054fd23768e0fc903c0eab8a83442,bbbea7f167264b7236e4459dcb0a8838,22220,rio de janeiro,RJ,rio de janeiro
55dbeedb7b2bf8d3059f319abe27202f,e44a59cd3178714eaf095face6112af5,23075,rio de janeiro,RJ,rio de janeiro
